年份,出生,死亡
1950,1471,984
1951,1441,948
1952,1724,967
1953,1675,814
1954,1851,779
1955,1861,745
1956,1736,706
1957,1900,688
1958,1714,781
1959,1306,970
1960,1468,1693
1961,1141,939
1962,2092,666
1963,2787,684
1964,2414,802
1965,2480,678
1966,2483,649
1967,2174,636
1968,2772,636
1969,2502,639
1970,2801,622
1971,2516,613
1972,2480,656
1973,2491,621
1974,2255,661
1975,2126,671
1976,1866,675
1977,1798,649
1978,1757,598
1979,1738,602
1980,1797,619
1981,2092,629
1982,2265,663
1983,2080,703
1984,2077,704
1985,2227,710
1986,2411,729
1987,2550,726
1988,2307,729
1989,2432,730
1990,2391,762
1991,2258,768
1992,2119,771
1993,2126,780
1994,2104,771
1995,2063,792
1996,2067,799
1997,2038,801
1998,1991,807
1999,1909,809
2000,1771,814
2001,1702,818
2002,1647,821
2003,1599,825
2004,1593,832
2005,1617,849
2006,1584,892
2007,1594,913
2008,1608,935
2009,1615,943
2010,1588,951
2011,1604,960
2012,1635,966
2013,1640,972
2014,1687,977
2015,1655,975
2016,1786,977
2017,1723,986
2018,1523,993
2019,1465,998
2020,1202,997
2021,1062,1014
2022,956,1041
2023,902,1111
